date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:57	26711/26711	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	/home/krishna/websites/newsPaper%20Builder/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:58:08	148478/148478	---MC-	200	added ('OK')	text/javascript	date:Sat,%2008%20Jan%202022%2017:27:57%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	/home/krishna/websites/newsPaper%20Builder/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:58:10	4255/4255	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d89453438fbf10dcf4c13265c40d5160%22	https://certify-js.alexametrics.com/atrk.js	/home/krishna/websites/newsPaper%20Builder/certify-js.alexametrics.com/atrk.js	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:58:10	43/43	---M--	200	added ('OK')	image/gif	etag:%22221d8352905f2c38b3cb2bd191d630b0%22	https://certify.alexametrics.com/atrk.gif?account=zLDCv1DTcA20Ug	/home/krishna/websites/newsPaper%20Builder/certify.alexametrics.com/atrk1fe3.gif	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:58:13	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2008%20Jan%202022%2017:28:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/krishna/websites/newsPaper%20Builder/www.googletagmanager.com/gtm.145445.delayed	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:58:13	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%22741562bc402a34b27d7e1d53342662d0%22	http://connect.facebook.net/en_US/sdk.js	/home/krishna/websites/newsPaper%20Builder/connect.facebook.net/en_US/sdk.js	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:59:14	12088/12088	---M--	200	added ('OK')	image/png	etag:%226d0866a7c7aeb35f8c2696d72f7d2b85%22	https://cache.epapr.in/masthead/60f5407ae59d9.png	/home/krishna/websites/newsPaper%20Builder/cache.epapr.in/masthead/60f5407ae59d9.png	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:59:16	22260/22260	---M--	200	added ('OK')	image/gif	etag:%22eb0d4350399324d3351b6f8d2bcfa26b%22	https://cache.epapr.in/static/loader.gif	/home/krishna/websites/newsPaper%20Builder/cache.epapr.in/static/loader.gif	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
22:59:31	148476/148476	---MC-	200	added ('OK')	text/javascript	date:Sat,%2008%20Jan%202022%2017:29:16%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-8285702740491860	/home/krishna/websites/newsPaper%20Builder/pagead2.googlesyndication.com/pagead/js/f2dec.txt	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
23:00:20	1456/1456	---M--	200	added ('OK')	image/gif	etag:%224fcf262f-5b0%22	https://sf.readwhere.com/read/theme/images/loader.gif	/home/krishna/websites/newsPaper%20Builder/sf.readwhere.com/read/theme/images/loader.gif	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
23:00:20	3091/3091	---M--	200	added ('OK')	image/png	etag:%2259786c7e-c13%22	https://sf.readwhere.com/img/ver16_logo_icon.png	/home/krishna/websites/newsPaper%20Builder/sf.readwhere.com/img/ver16_logo_icon.png	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
23:00:21	4500/4500	---M--	200	added ('OK')	image/png	etag:%22597f0b6b-1194%22	https://sf.readwhere.com/img/readwherelogo2.png	/home/krishna/websites/newsPaper%20Builder/sf.readwhere.com/img/readwherelogo2.png	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
23:00:22	4772/4772	---M--	200	added ('OK')	image/png	etag:%225a2d54eb03e4bec8fed24e5c6a71f72d%22	https://cache.epapr.in/static/mapp/img/appstore-btn.png	/home/krishna/websites/newsPaper%20Builder/cache.epapr.in/static/mapp/img/appstore-btn.png	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
23:00:23	7334/7334	---M--	200	added ('OK')	image/png	etag:%2229c8ec138495a80a113b2657a7b5e59d%22	https://cache.epapr.in/static/mapp/img/play-store.png	/home/krishna/websites/newsPaper%20Builder/cache.epapr.in/static/mapp/img/play-store.png	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
23:00:24	3521/3521	---M--	200	added ('OK')	image/gif	etag:%227a1fb1e104559caf69e794479c278f8c%22	https://cache.epapr.in/logos/logo_image_6155c7286b79a.gif	/home/krishna/websites/newsPaper%20Builder/cache.epapr.in/logos/logo_image_6155c7286b79a.gif	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
23:00:25	2725/2725	---M--	200	added ('OK')	image/png	etag:%22ebfbcaca274ee67ed799e9b3c0194b5a%22	https://marketing.readwhere.com/10548.png	/home/krishna/websites/newsPaper%20Builder/marketing.readwhere.com/10548.png	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
23:00:26	2627/2627	---M--	200	added ('OK')	image/png	etag:%221407f2996f91ca73d175a15e61811cba%22	https://marketing.readwhere.com/10548.3.png	/home/krishna/websites/newsPaper%20Builder/marketing.readwhere.com/10548.3.png	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
23:00:27	2810/2810	---M--	200	added ('OK')	image/png	etag:%223c09eba0258d87ae16e394619670b57a%22	https://marketing.readwhere.com/10548.2.png	/home/krishna/websites/newsPaper%20Builder/marketing.readwhere.com/10548.2.png	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
23:00:29	27616/27616	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257481002-6be0%22	https://sf.readwhere.com/read/js/sweet-alert.js?v=1464340487	/home/krishna/websites/newsPaper%20Builder/sf.readwhere.com/read/js/sweet-alert4a64.js	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
23:00:30	11767/11767	---MCZ	200	added ('OK')	text/css	etag:W/%2257481002-2df7%22	https://sf.readwhere.com/read/styles/sweet-alert.css?v=1464340482	/home/krishna/websites/newsPaper%20Builder/sf.readwhere.com/read/styles/sweet-alert553c.css	(from https://epaper.dishadaily.com/3345510/DISHA-MAIN/08-01-2022)
